tilesheet_coordinates,key,name,image,unsettling_description,silly_description,original_description
"(224, 96)",158,Stonefish,,"Its venom will quickly cause paralysis, tissue necrosis and heart failure.",,A bizarre fish that's shaped like a brick.
"(240, 96)",159,Crimsonfish,,Swimmers beware: this summer spawning fish becomes quite violent to protect its eggs.,,Lives deep in the ocean but likes to lay its eggs in the warm summer water.
"(256, 96)",160,Angler,,This eerie fish is known for the sexual parasitism of its reproductive cycle.,,Uses a bioluminescent dangler to attract prey.
"(272, 96)",161,Ice Pip,,"Frozen and zombified: don't let it bite you. You might be able to use it as a weapon, though.",,A rare fish that thrives in extremely cold conditions.
"(288, 96)",162,Lava Eel,,Legend says it survives by feeding off the remains of travelers who drown in the mines.,,It can somehow survive in pools of red-hot lava.
"(304, 96)",163,Legend,,"The grandfather of all largemouth bass in the lake, now torn from his home.",,The king of all fish! They said he'd never be caught.
"(320, 96)",164,Sandfish,,It hides using camouflage. Sometimes you can see the sand move as it waits for prey.,,It tries to hide using camouflage.
"(336, 96)",165,Scorpion Carp,,The unholy union of a scorpion and a carp. Keep hands away from tailfin!,,It's like a regular carp but with a sharp stinger.
"(352, 96)",166,Treasure Chest,,"Many of the coins inside are stained an ugly dark red, almost black.",,"Wow, it's loaded with treasure! This is sure to fetch a good price."
"(368, 96)",167,Joja Cola,,Food safety authorities have questioned the blue chemical used to color this drink.,,The flagship product of Joja corporation.
"(0, 112)",168,Trash,,Like you.,,It's junk.
"(16, 112)",169,Driftwood,,The weathered remnant of a drowned tree.,,A piece of wood from the sea.
"(32, 112)",170,Broken Glasses,,The frames look like Pierre's. Does he just dump his old trash anywhere?,,It looks like someone lost their glasses. They're busted.
"(48, 112)",171,Broken CD,,"Faded blue marker on one side mentions ""blackmail"", but the rest is indiscernible.",,It's a JojaNet 2.0 trial CD. They must've made a billion of these things.
"(64, 112)",172,Soggy Newspaper,,Filled with propaganda and word vomit. Worthless.,,This is trash.
"(128, 112)",176,Egg,,A regular white egg. Fresh from a chicken's cloaca!,,A regular white chicken egg.
"(96, 112)",174,Large Egg,,An uncommonly large white egg. Can you imagine how the chicken must have stretched?,,It's an uncommonly large white egg!
"(160, 112)",178,Hay,,Delicious grass corpses for your animal friends.,,Dried grass used as animal food.
"(192, 112)",180,Egg,,A regular brown egg. Fresh from a chicken's cloaca!,,A regular brown chicken egg.
"(224, 112)",182,Large Egg,,An uncommonly large brown egg. Can you imagine how the chicken must have stretched?,,It's an uncommonly large brown egg!
"(256, 112)",184,Milk,,A jug of cow tiddy juice. Yum.,,A jug of cow's milk.
"(288, 112)",186,Large Milk,,Voluminous secretions from a bulging cow udder.,,A large jug of cow's milk.
"(320, 112)",188,Green Bean,,Girth is nothing to brag about... the tastiest ones are pencil-thin!,,"A juicy little bean with a cool, crisp snap."
"(352, 112)",190,Cauliflower,,Releases a pungent stench when boiled.,,"Valuable, but slow-growing. Despite its pale color, the florets are packed with nutrients."
"(368, 112)",191,Ornate Necklace,,The necklace gleams with faint residue of arcane powers... who could it belong to?,,A fancy necklace found in the water outside of the bath house. It's still wet...
"(0, 128)",192,Potato,,"It doesn't seem like much, but you'd be glad of it in a famine.",,A widely cultivated tuber.
"(32, 128)",194,Fried Egg,,Mmm~ unborn chicken cooked in crushed nut juice.,,Sunny-side up.
"(48, 128)",195,Omelet,,"Fluffy, congealed cow AND chicken juices. Are you gonna eat that?",,It's super fluffy.
"(64, 128)",196,Salad,,"Assorted dismembered plant materials, tossed with a flavorful dressing.",,A healthy garden salad.
"(80, 128)",197,Cheese Cauliflower,,Plants taste better with curdled cow juice on them.,,It smells great!
"(96, 128)",198,Baked Fish,,"Its dead, bulbous eye stares up at you: ""What have you done?""",,Baked fish on a bed of herbs.
"(112, 128)",199,Parsnip Soup,,Clears all your mucus right out! Your sinuses will thank you.,,It's fresh and hearty.
"(128, 128)",200,Vegetable Medley,,"A heaping pile of chopped, fleshy vegetables!",,This is very nutritious.
"(144, 128)",201,Complete Breakfast,,This would make a very satisfying last meal.,,You'll feel ready to take on the world!
"(160, 128)",202,Fried Calamari,,The sapient flesh is deliciously chewy.,,It's so chewy.
"(176, 128)",203,Strange Bun,,What's inside? OH SWEET YOBA IT'S SPIDERS!,,What's inside?
"(192, 128)",204,Lucky Lunch,,So tasty that luck-bringing spirits will nest in your belly to eat it.,,A special little meal.
"(208, 128)",205,Fried Mushroom,,You can still taste the dirt.,,Earthy and aromatic.
"(224, 128)",206,Pizza,,It has pineapples on it. *shudder*,,It's popular for all the right reasons.
"(240, 128)",207,Bean Hotpot,,Sticks heavily to the pot and to your insides.,,It sure is healthy.
"(256, 128)",208,Glazed Yams,,"If you can't stomach eating your vegetables, drown them in sugar first.",,Sweet and satisfying... The sugar gives it a hint of caramel.
"(272, 128)",209,Carp Surprise,,The carp is not the surprising part of this meal.,,It's bland and oily.
"(288, 128)",210,Hashbrowns,,Chow down on these slick and oddly-textured potato bits.,,Crispy and golden-brown!
"(304, 128)",211,Pancakes,,"The warm, seductive stack is slathered in butter.",,"A double stack of fluffy, soft pancakes."
"(320, 128)",212,Salmon Dinner,,Cooked flesh of a fish with a squirt of something yellow... thats what makes it special. ;),,The lemon spritz makes it special.
"(336, 128)",213,Fish Taco,,A fishy smell is normal for this taco.,,It smells delicious.
"(352, 128)",214,Crispy Bass,,"Filleted corpse of once-living fish, now a tender, flaky dish.",,"Wow, the breading is perfect."
"(368, 128)",215,Pepper Poppers,,Gooey cheese strings ensure that the scorching hot flavor will stick in your mouth.,,Spicy breaded peppers filled with cheese.
"(0, 144)",216,Bread,,The greatest thing since the elves disappeared.,,A crusty baguette.
"(32, 144)",218,Tom Kha Soup,,Way too many flavors in one pot.,,These flavors are incredible!
"(48, 144)",219,Trout Soup,,The high salt content in this bowl of dead fish broth gets you buzzing.,,Pretty salty.
"(64, 144)",220,Chocolate Cake,,Moist.,,Rich and moist with a thick fudge icing.
"(80, 144)",221,Pink Cake,,This innocent-looking cake has strong aphrodisiac properties.,,There's little heart candies on top.
"(96, 144)",222,Rhubarb Pie,,"A traditional dessert made of odd, stringy stalks that look like red celery.",,"Mmm, tangy and sweet!"
"(112, 144)",223,Cookie,,"Granny Evelyn's ""special"" cookies.",,Very chewy.
"(128, 144)",224,Spaghetti,,May you be forever touched by His Noodly Appendage.,,An old favorite.
"(144, 144)",225,Fried Eel,,Greasy on the outside and mushy on the inside. At least it's no longer slimy.,,Greasy but flavorful.
"(160, 144)",226,Spicy Eel,,Slimy eels slathered with nitroglycerin and hot sauce. Prevents chest pain.,,It's really spicy! Be careful.
"(176, 144)",227,Sashimi,,The raw fish can carry bacterial or parasitic infection when improperly prepared.,,Raw fish sliced into thin pieces.
"(192, 144)",228,Maki Roll,,"Cold, raw fish wrapped in rice and wrinkled seaweed husks. Hope the fish was fresh...",,Fish and rice wrapped in seaweed.
"(208, 144)",229,Tortilla,,Excellent as fertilizer the day after.,,Can be used as a vessel for food or eaten by itself.
"(224, 144)",230,Red Plate,,"Gives an energy boost, but watch out for the crash that follows.",,Full of antioxidants.
"(240, 144)",231,Eggplant Parmesan,,"Lewis' secret recipe. It's a bit tangy... but actually, the flavor is quite good!",,"Tangy, cheesy, and wonderful."
"(256, 144)",232,Rice Pudding,,With a texture so smooth it seems pre-digested.,,"It's creamy, sweet, and fun to eat."
"(272, 144)",233,Ice Cream,,The taste brings to mind screaming children.,,It's hard to find someone who doesn't like this.
"(288, 144)",234,Blueberry Tart,,"Made with the freshest blueberries, all organically fertilized by local fauna.",,It's subtle and refreshing.
"(304, 144)",235,Autumn's Bounty,,"A taste of fall season, minus the rotting mulch and fallen leaves.",,A taste of the season.
"(320, 144)",236,Pumpkin Soup,,"Mushy pumpkin innards, liquified until creamy and velvety-smooth.",,A seasonal favorite.
"(336, 144)",237,Super Meal,,Chock-full of antioxidants and stimulant additives for a snappy boost of energy.,,It's a really energizing meal.
"(352, 144)",238,Cranberry Sauce,,The gelatinized corpses of countless cranberries. How could you?!,,A festive treat.
"(368, 144)",239,Stuffing,,"Oh, you'll be stuffed, all right.",,Ahh... the smell of warm bread and sage.
"(0, 160)",240,Farmer's Lunch,,Getting fancy now with a side of vegetables for your mushy blobs of animal juice.,,This'll keep you going.
"(16, 160)",241,Survival Burger,,A vegetarian alternative for the health-conscious cannibal.,,A convenient snack for the explorer.
"(32, 160)",242,Dish O' The Sea,,"The fish on your plate enjoyed the freedom of the whole ocean, once.",,This'll keep you warm in the cold sea air.
"(48, 160)",243,Miner's Treat,,A dish served best with a side of amethyst.,,This should keep your energy up.
"(64, 160)",244,Roots Platter,,"They have that nice, musty graveyard taste.",,This'll get you digging for more.
"(80, 160)",245,Sugar,,The leading cause of diabetes.,,Adds sweetness to pastries and candies. Too much can be unhealthy.
"(96, 160)",246,Wheat Flour,,Destroys the surface of small intestines through a severe immune reaction that occurs in 1% of people.,,A common cooking ingredient made from crushed wheat seeds.
"(112, 160)",247,Oil,,A vital ingredient in fried food and clogged arteries.,,All purpose cooking oil.
"(128, 160)",248,Garlic,,Keeps the bloodsuckers away.,,Adds a wonderful zestiness to dishes. High quality garlic can be pretty spicy.
"(160, 160)",250,Kale,,"Stringy, fibrous leaves that taste like sour dirt.",,The waxy leaves are great in soups and stir frys.
"(176, 160)",251,Tea Sapling,,"Succumb to caffeine addiction. Grows in 20 days without water, produces in the last week of each season.",,"Takes 20 days to mature. Produces tea leaves during the final week of each season, except winter. No watering necessary!"
"(192, 160)",252,Rhubarb,,"The leaves are poisonous, and the stalks are so sour they might as well be.",,"The stalks are extremely tart, but make a great dessert when sweetened."
"(208, 160)",253,Triple Shot Espresso,,"Causes irregular or rapid heartbeat in high doses. Just ignore it, it's probably fine.",,It's more potent than regular coffee!
"(224, 160)",254,Melon,,Are your thighs strong enough to crush it?,,"A cool, sweet summer treat."
"(256, 160)",256,Tomato,,"Belongs to the nightshade family, but don't worry, it's not poisonous.",,"Rich and slightly tangy, the Tomato has a wide variety of culinary uses."
"(272, 160)",257,Morel,,Toxic when uncooked. The ridged and pitted cap is highly triggering for trypophobia.,,Sought after for its unique nutty flavor.
"(288, 160)",258,Blueberry,,"Dozens of fungal growths can infect it, emerging and quickly engulfing berries after harvest.",,A popular berry reported to have many health benefits. The blue skin has the highest nutrient concentration.
"(304, 160)",259,Fiddlehead Fern,,Tastes like moss when raw and has zero flavor when cooked.,,The young shoots are an edible specialty.
"(320, 160)",260,Hot Pepper,,It'll make your face melt.,,Fiery hot with a hint of sweetness.
"(336, 160)",261,Warp Totem: Desert,,Warps all time and space to re-center Calico Desert on your current physical location. Consumed on use.,,Warp directly to Calico Desert. Consumed on use.
"(352, 160)",262,Wheat,,The golden heads will be brutally crushed for food.,,One of the most widely cultivated grains. Makes a great flour for breads and cakes.
"(0, 176)",264,Radish,,Very effective at treating jaundice.,,A crisp and refreshing root vegetable with hints of pepper when eaten raw.
"(32, 176)",266,Red Cabbage,,Behead this plant to use in salads and coleslaws.,,Often used in salads and coleslaws. The color can range from purple to blue to green-yellow depending on soil conditions.
"(64, 176)",268,Starfruit,,"Dangerous to anyone with kidney disease, as they cannot process the neurotoxin contained within.",,"An extremely juicy fruit that grows in hot, humid weather. Slightly sweet with a sour undertone."
"(96, 176)",270,Corn,,"Approximately 800 strands of tangled, silken hair flow out of each cob.",,"One of the most popular grains. The sweet, fresh cobs are a summer favorite."
"(112, 176)",271,Unmilled Rice,,Rumored to cause avian stomachs to explode.,,Rice in its rawest form. Run this through a mill to increase the value.
"(128, 176)",272,Eggplant,,The best gifts are unsolicited.,,A rich and wholesome relative of the tomato. Delicious fried or stewed.
"(144, 176)",273,Rice Shoot,,"A gift from the grubs. Plant in spring, 8 days (6 days if near water). Harvest with scythe.",,Plant these in the spring. Takes 8 days to mature. Grows faster if planted near a body of water. Harvest with the scythe.
"(160, 176)",274,Artichoke,,Harvested without slave labour.,,"The bud of a thistle plant. The spiny outer leaves conceal a fleshy, filling interior."
"(176, 176)",275,Artifact Trove,,Be careful breaking this open. You could get an artifact... or unleash a very angry specter.,,A blacksmith can open this for you. These troves often contain ancient relics and curiosities.
"(192, 176)",276,Pumpkin,,Scoop out its stringy flesh to make a festive fall decoration.,,"A fall favorite, grown for its crunchy seeds and delicately flavored flesh. As a bonus, the hollow shell can be carved into a festive decoration."
"(208, 176)",277,Wilted Bouquet,,As dead as your heart. Makes a thoughtful and symbolic gift.,,A gift that shows you want to stop dating someone.
"(224, 176)",278,Bok Choy,,Its chemical composition can induce swelling of the thyroid gland.,,The leafy greens and fibrous stalks are healthy and delicious.
"(240, 176)",279,Magic Rock Candy,,Colorful candy made from literal rocks. Very alluring to small children.,,A rare and powerful candy infused with the essence of the prismatic shard.
"(256, 176)",280,Yam,,"A firm, fleshy tuber spoilt by flavor that is too sweet and too starchy.",,A starchy tuber with a lot of culinary versatility.
"(272, 176)",281,Chanterelle,,"The visible, edible part is just the tip of a vast colony of fungus threaded throughout the soil.",,A tasty mushroom with a fruity smell and slightly peppery flavor.
"(288, 176)",282,Cranberries,,Bitter little fruits with unnatural properties: they float in water and bounce on land.,,These tart red berries are a traditional winter food.
"(304, 176)",283,Holly,,"Crisp and juicy berries. Alas, some things are only edible once.",,The leaves and bright red berries make a popular winter decoration.
"(320, 176)",284,Beet,,Blame troublesome red stains on the juice of this vegetable.,,"A sweet and earthy root vegatable. As a bonus, the leaves make a great salad."
"(352, 176)",286,Cherry Bomb,,A small explosive device that is unfortunately tempting for small children.,,Generates a small explosion. Stand back!
"(368, 176)",287,Bomb,,A civilian version of a mass-produced explosive from the Gotoro war.,,Generates an explosion. Watch out!
"(0, 192)",288,Mega Bomb,,A devastatingly powerful bomb intended to inflict maximum damage and harm.,,Generates a powerful explosion. Use with extreme caution.
"(32, 192)",290,Stone,,UNOBTAINABLE,,...
"(80, 192)",293,Brick Floor,,"Chunks of brick can make decent weapons, in a pinch. Place on the ground to create paths or floors.",,Place on the ground to create paths or to decorate your floors.
"(96, 192)",294,Twig,,UNOBTAINABLE,,...
"(112, 192)",295,Twig,,UNOBTAINABLE,,...
"(128, 192)",296,Salmonberry,,The color is eerily similar to salmon... eggs.,,A spring-time berry with the flavor of the forest.
"(144, 192)",297,Grass Starter,,"Plant this for your animals to eat. When you scythe it, you can smell the grass screaming in pain as it dies.",,Place this on your farm to start a new patch of grass.
"(160, 192)",298,Hardwood Fence,,Makes a stronger prison than an iron fence.,,The most durable type of fence.
"(176, 192)",299,Amaranth Seeds,,"Dense and heavy. Plant in fall, 7 days. Harvest with scythe.",,Plant these in the fall. Takes 7 days to grow. Harvest with the scythe.
"(192, 192)",300,Amaranth,,A purple grain like a thousand years old. Good luck actually enjoying this dust.,,A purple grain cultivated by an ancient civilization.
"(208, 192)",301,Grape Starter,,"The first step to self-sufficient alcoholism. Plant in fall, 10 days, reharvestable. Trellis crop.",,"Plant these in the fall. Takes 10 days to grow, but keeps producing after that. Grows on a trellis."
"(224, 192)",302,Hops Starter,,"A make-work project. Plant in summer, 11 days, reharvestable. Trellis crop.",,"Plant these in the summer. Takes 11 days to grow, but keeps producing after that. Grows on a trellis."
"(240, 192)",303,Pale Ale,,Drink before and after driving a bus if your name is Pam.,,Drink in moderation.
"(256, 192)",304,Hops,,"Bitter, foul-smelling green seed cones used as an additive in beer.",,"A bitter, tangy flower used to flavor beer."
"(272, 192)",305,Void Egg,,Might give birth to the Darkness itself. Do you dare to let it hatch?,,A jet-black egg with red flecks. It's warm to the touch.
"(288, 192)",306,Mayonnaise,,Technically an oily egg yolk. Someone came up with this great idea!,,It looks spreadable.
"(304, 192)",307,Duck Mayonnaise,,Spreadable essence of unborn duck. Goes great in sandwiches.,,"It's a rich, yellow mayonnaise."
"(320, 192)",308,Void Mayonnaise,,"Your mortal, dimensionally finite stomach cannot hope to endure its unfathomable nutrients.",,"A thick, black paste that smells like burnt hair."
"(336, 192)",309,Acorn,,The glans of the penis was named after this tree seed.,,Place this on your farm to plant an oak tree.
"(352, 192)",310,Maple Seed,,A winged tree seed that bears uncanny resemblance to an insect.,,Place this on your farm to plant a maple tree.
"(368, 192)",311,Pine Cone,,Tiny ants crawl between the rough scales.,,Place this on your farm to plant a pine tree.
"(16, 208)",313,Weeds,,UNOBTAINABLE,,...
"(32, 208)",314,Weeds,,UNOBTAINABLE,,...
"(48, 208)",315,Weeds,,UNOBTAINABLE,,...
"(64, 208)",316,Weeds,,UNOBTAINABLE,,...
"(80, 208)",317,Weeds,,UNOBTAINABLE,,...
"(96, 208)",318,Weeds,,UNOBTAINABLE,,...
"(112, 208)",319,Weeds,,UNOBTAINABLE,,...
"(128, 208)",320,Weeds,,UNOBTAINABLE,,...
"(144, 208)",321,Weeds,,UNOBTAINABLE,,...
