tilesheet_coordinates,key,name,image,made_with,unsettling_description,silly_description,original_description
"(100, 320)",53,Beanie,,"Acorn, Maple Seed, Pine Cone","Tight enough to constrict blood flow, but at least it's warm.",,A warm hat with a pretty tight fit.
"(120, 320)",54,Floppy Beanie,,"Maple Syrup, Oak Resin, Pine Tar",TODO,,A warm hat with a looser fit.
"(140, 320)",55,Fishing Hat,,"Stonefish, Ice Pip, Scorpion Carp, Spook Fish, Midnight Squid, Void Salmon, Slimejack",TODO,,The wide brim keeps you shaded when you're fishing on the riverbank.
"(160, 320)",56,Blobfish Mask,,Blobfish,Hardly makes a difference.,,Just as spongy as the real thing!
"(180, 320)",57,Party Hat,,Pizza,It's a little cheesy.,,A goofy red hat that makes any celebration more fun.
"(200, 320)",58,Party Hat,,Chocolate Cake,TODO,,A goofy blue hat that makes any celebration more fun.
"(220, 320)",59,Party Hat,,Fish Taco,Something's fishy about this hat.,,A goofy green hat that makes any celebration more fun.
"(0, 400)",60,Arcane Hat,,,TODO,,The type of cowboy hat worn by a wizard.
"(20, 400)",61,Chef Hat,,,Good for hiding bald patches or puppeteering rats.,,The traditional hat worn by a head chef.
"(40, 400)",62,Pirate Hat,,Treasure Chest,TODO,,A captain's hat with a horrible skull on the front.
"(60, 400)",63,Flat Topped Hat,,"Cranberry Sauce, Stuffing",Smells like turkey and smallpox.,,An old style of hat once considered very fashionable.
"(80, 400)",64,Elegant Turban,,,TODO,,A fine black silk turban with gold trim.
"(100, 400)",65,White Turban,,Sweet Gem Berry,TODO,,A fine white silk turban with blue trim.
"(120, 400)",66,Garbage Hat,,,An instrument of self-expression.,,It's a garbage can lid 'upcycled' into a hat...
"(140, 400)",67,Golden Mask,,Golden Mask,Sharp spines pierce your face whenever you put it on. It's uncomfortable.,,A faithful recreation of the Calico Desert relic!
"(160, 400)",68,Propeller Hat,,Miner's Treat,For those unexpected flights.,,A goofy hat with a propeller on top.
"(180, 400)",69,Bridal Veil,,Pearl,TODO,,The traditional headwear for a bride.
"(200, 400)",70,Witch Hat,,Golden Pumpkin,TODO,,A pointy hat popular with witches.
"(220, 400)",71,Copper Pan,,,"It may be practical, but your style choices are hideous.",,You place the copper pan on your head...
"(0, 480)",72,Green Turban,,,TODO,,A green silk turban with a gold ornament on the front.
"(20, 480)",73,Magic Cowboy Hat,,,TODO,,It's shimmering with prismatic energy
"(40, 480)",74,Magic Turban,,,TODO,,It's shimmering with prismatic energy
