key,name,unsettling_description,original_description
101,Arrowhead,TODO,A crudely fashioned point used for hunting.
102,Lost Book,TODO,Writings from a wide variety of time periods.
103,Ancient Doll,TODO,"An ancient doll covered in grime. This doll may have been used as a toy, a decoration, or a prop in some kind of ritual."
104,Elvish Jewelry,TODO,Dirty but still beautiful. On the side is a flowing script thought by some to be the ancient language of the elves. No Elvish bones have ever been found.
105,Chewing Stick,TODO,Ancient people chewed on these to keep their teeth clean.
106,Ornamental Fan,TODO,This exquisute fan most likely belonged to a noblewoman. Historians believe that the valley was a popular sixth-era vacation spot for the wealthy.
107,Dinosaur Egg,TODO,A giant dino egg... The entire shell is still intact!
108,Rare Disc,TODO,"A heavy black disc studded with peculiar red stones. When you hold it, you're overwhelmed with a feeling of dread."
109,Ancient Sword,TODO,"It's the remains of an ancient sword. Most of the blade has turned to rust, but the hilt is very finely crafted."
110,Rusty Spoon,TODO,"A plain old spoon, probably ten years old. Not very interesting."
111,Rusty Spur,TODO,An old spur that was once attached to a cowboy's boot. People must have been raising animals in this area for many generations.
112,Rusty Cog,TODO,A well preserved cog that must have been part of some ancient machine. This could be dwarven technology.
113,Chicken Statue,TODO,It's a statue of a chicken on a bronze base. The ancient people of this area must have been very fond of chickens.
114,Ancient Seed,TODO,It's a dry old seed from some ancient plant. By all appearances it's long since dead...
115,Prehistoric Tool,TODO,Some kind of gnarly old digging tool.
116,Dried Starfish,TODO,A starfish from the primordial ocean. It's an unusually pristine specimen!
117,Anchor,TODO,It may have belonged to ancient pirates.
118,Glass Shards,TODO,A mixture of glass shards smoothed by centuries of ocean surf. These could have belonged to an ancient mosaic or necklace.
119,Bone Flute,TODO,It's a prehistoric wind instrument carved from an animal's bone. It produces an eerie tone.
120,Prehistoric Handaxe,TODO,"One of the earliest tools employed by humans. This ""crude"" tool was created by striking one rock with another to form a sharp edge."
121,Dwarvish Helm,TODO,It's one of the helmets commonly worn by dwarves. The thick metal plating protects them from falling debris and stalactites.
122,Dwarf Gadget,TODO,"It's a piece of the advanced technology once known to the dwarves. It's still glowing and humming, but you're unable to understand how it works."
123,Ancient Drum,TODO,"It's a drum made from wood and animal skin. It has a low, reverberating tone."
124,Golden Mask,TODO,A creepy golden mask probably used in an ancient magic ritual. A socket in the forehead contains a large purple gemstone.
125,Golden Relic,TODO,It's a golden slab with heiroglyphs and pictures emblazoned onto the front.
126,Strange Doll,TODO,???
127,Strange Doll,TODO,???
128,Pufferfish,TODO,Inflates when threatened.
129,Anchovy,TODO,A small silver fish found in the ocean.
130,Tuna,TODO,A large fish that lives in the ocean.
131,Sardine,TODO,A common ocean fish.
132,Bream,TODO,A fairly common river fish that becomes active at night.
136,Largemouth Bass,TODO,A popular fish that lives in lakes.
137,Smallmouth Bass,TODO,A freshwater fish that is very sensitive to pollution.
138,Rainbow Trout,TODO,A freshwater trout with colorful markings.
139,Salmon,TODO,Swims upstream to lay its eggs.
140,Walleye,TODO,A freshwater fish caught at night.
141,Perch,TODO,A freshwater fish of the winter.
142,Carp,TODO,A common pond fish.
143,Catfish,TODO,An uncommon fish found in streams.
144,Pike,TODO,A freshwater fish that's difficult to catch.
145,Sunfish,TODO,A common river fish.
146,Red Mullet,TODO,Long ago these were kept as pets.
147,Herring,TODO,A common ocean fish.
148,Eel,TODO,"A long, slippery little fish."
149,Octopus,TODO,A mysterious and intelligent creature.
150,Red Snapper,TODO,A popular fish with a nice red color.
151,Squid,TODO,A deep sea creature that can grow to enormous size.
152,Seaweed,TODO,It can be used in cooking.
153,Green Algae,TODO,It's really slimy.
154,Sea Cucumber,TODO,"A slippery, slimy creature found on the ocean floor."
155,Super Cucumber,TODO,"A rare, purple variety of sea cucumber."
156,Ghostfish,TODO,"A pale, blind fish found in underground lakes."
157,White Algae,TODO,It's super slimy.
158,Stonefish,TODO,A bizarre fish that's shaped like a brick.
159,Crimsonfish,TODO,Lives deep in the ocean but likes to lay its eggs in the warm summer water.
160,Angler,TODO,Uses a bioluminescent dangler to attract prey.
161,Ice Pip,TODO,A rare fish that thrives in extremely cold conditions.
162,Lava Eel,TODO,It can somehow survive in pools of red-hot lava.
163,Legend,TODO,The king of all fish! They said he'd never be caught.
164,Sandfish,TODO,It tries to hide using camouflage.
165,Scorpion Carp,TODO,It's like a regular carp but with a sharp stinger.
166,Treasure Chest,TODO,"Wow, it's loaded with treasure! This is sure to fetch a good price."
167,Joja Cola,TODO,The flagship product of Joja corporation.
168,Trash,TODO,It's junk.
169,Driftwood,TODO,A piece of wood from the sea.
170,Broken Glasses,TODO,It looks like someone lost their glasses. They're busted.
171,Broken CD,TODO,It's a JojaNet 2.0 trial CD. They must've made a billion of these things.
172,Soggy Newspaper,TODO,This is trash.
176,Egg,TODO,A regular white chicken egg.
174,Large Egg,TODO,It's an uncommonly large white egg!
178,Hay,TODO,Dried grass used as animal food.
180,Egg,TODO,A regular brown chicken egg.
182,Large Egg,TODO,It's an uncommonly large brown egg!
184,Milk,TODO,A jug of cow's milk.
186,Large Milk,TODO,A large jug of cow's milk.
188,Green Bean,TODO,"A juicy little bean with a cool, crisp snap."
190,Cauliflower,TODO,"Valuable, but slow-growing. Despite its pale color, the florets are packed with nutrients."
191,Ornate Necklace,TODO,A fancy necklace found in the water outside of the bath house. It's still wet...
192,Potato,TODO,A widely cultivated tuber.
194,Fried Egg,TODO,Sunny-side up.
195,Omelet,TODO,It's super fluffy.
196,Salad,TODO,A healthy garden salad.
197,Cheese Cauliflower,TODO,It smells great!
198,Baked Fish,TODO,Baked fish on a bed of herbs.
199,Parsnip Soup,TODO,It's fresh and hearty.
200,Vegetable Medley,TODO,This is very nutritious.
201,Complete Breakfast,TODO,You'll feel ready to take on the world!
202,Fried Calamari,TODO,It's so chewy.
203,Strange Bun,TODO,What's inside?
204,Lucky Lunch,TODO,A special little meal.
205,Fried Mushroom,TODO,Earthy and aromatic.
206,Pizza,TODO,It's popular for all the right reasons.
207,Bean Hotpot,TODO,It sure is healthy.
208,Glazed Yams,TODO,Sweet and satisfying... The sugar gives it a hint of caramel.
209,Carp Surprise,TODO,It's bland and oily.
210,Hashbrowns,TODO,Crispy and golden-brown!
211,Pancakes,TODO,"A double stack of fluffy, soft pancakes."
212,Salmon Dinner,TODO,The lemon spritz makes it special.
213,Fish Taco,TODO,It smells delicious.
214,Crispy Bass,TODO,"Wow, the breading is perfect."
215,Pepper Poppers,TODO,Spicy breaded peppers filled with cheese.
216,Bread,TODO,A crusty baguette.
218,Tom Kha Soup,TODO,These flavors are incredible!
219,Trout Soup,TODO,Pretty salty.
220,Chocolate Cake,TODO,Rich and moist with a thick fudge icing.
221,Pink Cake,TODO,There's little heart candies on top.
222,Rhubarb Pie,TODO,"Mmm, tangy and sweet!"
223,Cookie,TODO,Very chewy.
224,Spaghetti,TODO,An old favorite.
225,Fried Eel,TODO,Greasy but flavorful.
226,Spicy Eel,TODO,It's really spicy! Be careful.
227,Sashimi,TODO,Raw fish sliced into thin pieces.
228,Maki Roll,TODO,Fish and rice wrapped in seaweed.
229,Tortilla,TODO,Can be used as a vessel for food or eaten by itself.
230,Red Plate,TODO,Full of antioxidants.
231,Eggplant Parmesan,TODO,"Tangy, cheesy, and wonderful."
232,Rice Pudding,TODO,"It's creamy, sweet, and fun to eat."
233,Ice Cream,TODO,It's hard to find someone who doesn't like this.
234,Blueberry Tart,TODO,It's subtle and refreshing.
235,Autumn's Bounty,TODO,A taste of the season.
236,Pumpkin Soup,TODO,A seasonal favorite.
237,Super Meal,TODO,It's a really energizing meal.
238,Cranberry Sauce,TODO,A festive treat.
239,Stuffing,TODO,Ahh... the smell of warm bread and sage.
240,Farmer's Lunch,TODO,This'll keep you going.
241,Survival Burger,TODO,A convenient snack for the explorer.
242,Dish O' The Sea,TODO,This'll keep you warm in the cold sea air.
243,Miner's Treat,TODO,This should keep your energy up.
244,Roots Platter,TODO,This'll get you digging for more.
245,Sugar,TODO,Adds sweetness to pastries and candies. Too much can be unhealthy.
246,Wheat Flour,TODO,A common cooking ingredient made from crushed wheat seeds.
247,Oil,TODO,All purpose cooking oil.
248,Garlic,TODO,Adds a wonderful zestiness to dishes. High quality garlic can be pretty spicy.
250,Kale,TODO,The waxy leaves are great in soups and stir frys.
251,Tea Sapling,TODO,"Takes 20 days to mature. Produces tea leaves during the final week of each season, except winter. No watering necessary!"
252,Rhubarb,TODO,"The stalks are extremely tart, but make a great dessert when sweetened."
253,Triple Shot Espresso,TODO,It's more potent than regular coffee!
254,Melon,TODO,"A cool, sweet summer treat."
256,Tomato,TODO,"Rich and slightly tangy, the Tomato has a wide variety of culinary uses."
257,Morel,TODO,Sought after for its unique nutty flavor.
258,Blueberry,TODO,A popular berry reported to have many health benefits. The blue skin has the highest nutrient concentration.
259,Fiddlehead Fern,TODO,The young shoots are an edible specialty.
260,Hot Pepper,TODO,Fiery hot with a hint of sweetness.
261,Warp Totem: Desert,TODO,Warp directly to Calico Desert. Consumed on use.
262,Wheat,TODO,One of the most widely cultivated grains. Makes a great flour for breads and cakes.
264,Radish,TODO,A crisp and refreshing root vegetable with hints of pepper when eaten raw.
266,Red Cabbage,TODO,Often used in salads and coleslaws. The color can range from purple to blue to green-yellow depending on soil conditions.
268,Starfruit,TODO,"An extremely juicy fruit that grows in hot, humid weather. Slightly sweet with a sour undertone."
270,Corn,TODO,"One of the most popular grains. The sweet, fresh cobs are a summer favorite."
271,Unmilled Rice,TODO,Rice in its rawest form. Run this through a mill to increase the value.
272,Eggplant,TODO,A rich and wholesome relative of the tomato. Delicious fried or stewed.
273,Rice Shoot,TODO,Plant these in the spring. Takes 8 days to mature. Grows faster if planted near a body of water. Harvest with the scythe.
274,Artichoke,TODO,"The bud of a thistle plant. The spiny outer leaves conceal a fleshy, filling interior."
275,Artifact Trove,TODO,A blacksmith can open this for you. These troves often contain ancient relics and curiosities.
276,Pumpkin,TODO,"A fall favorite, grown for its crunchy seeds and delicately flavored flesh. As a bonus, the hollow shell can be carved into a festive decoration."
277,Wilted Bouquet,TODO,A gift that shows you want to stop dating someone.
278,Bok Choy,TODO,The leafy greens and fibrous stalks are healthy and delicious.
279,Magic Rock Candy,TODO,A rare and powerful candy infused with the essence of the prismatic shard.
280,Yam,TODO,A starchy tuber with a lot of culinary versatility.
281,Chanterelle,TODO,A tasty mushroom with a fruity smell and slightly peppery flavor.
282,Cranberries,TODO,These tart red berries are a traditional winter food.
283,Holly,TODO,The leaves and bright red berries make a popular winter decoration.
284,Beet,TODO,"A sweet and earthy root vegatable. As a bonus, the leaves make a great salad."
286,Cherry Bomb,TODO,Generates a small explosion. Stand back!
287,Bomb,TODO,Generates an explosion. Watch out!
288,Mega Bomb,TODO,Generates a powerful explosion. Use with extreme caution.
290,Stone,TODO,...
293,Brick Floor,TODO,Place on the ground to create paths or to decorate your floors.
294,Twig,TODO,...
295,Twig,TODO,...
296,Salmonberry,TODO,A spring-time berry with the flavor of the forest.
297,Grass Starter,TODO,Place this on your farm to start a new patch of grass.
298,Hardwood Fence,TODO,The most durable type of fence.
299,Amaranth Seeds,TODO,Plant these in the fall. Takes 7 days to grow. Harvest with the scythe.
300,Amaranth,TODO,A purple grain cultivated by an ancient civilization.
301,Grape Starter,TODO,"Plant these in the fall. Takes 10 days to grow, but keeps producing after that. Grows on a trellis."
302,Hops Starter,TODO,"Plant these in the summer. Takes 11 days to grow, but keeps producing after that. Grows on a trellis."
303,Pale Ale,TODO,Drink in moderation.
304,Hops,TODO,"A bitter, tangy flower used to flavor beer."
305,Void Egg,TODO,A jet-black egg with red flecks. It's warm to the touch.
306,Mayonnaise,TODO,It looks spreadable.
307,Duck Mayonnaise,TODO,"It's a rich, yellow mayonnaise."
308,Void Mayonnaise,TODO,"A thick, black paste that smells like burnt hair."
309,Acorn,TODO,Place this on your farm to plant an oak tree.
310,Maple Seed,TODO,Place this on your farm to plant a maple tree.
311,Pine Cone,TODO,Place this on your farm to plant a pine tree.
313,Weeds,TODO,...
314,Weeds,TODO,...
315,Weeds,TODO,...
316,Weeds,TODO,...
317,Weeds,TODO,...
318,Weeds,TODO,...
319,Weeds,TODO,...
320,Weeds,TODO,...
321,Weeds,TODO,...
322,Wood Fence,TODO,Keeps grass and animals contained!
323,Stone Fence,TODO,Lasts longer than a wood fence.
324,Iron Fence,TODO,Lasts longer than a stone fence.
325,Gate,TODO,Allows you to pass through a fence.
326,Dwarvish Translation Guide,TODO,Teaches you dwarvish.
328,Wood Floor,TODO,Place on the ground to create paths or to decorate your floors.
329,Stone Floor,TODO,Place on the ground to create paths or to spruce up your floors.
330,Clay,TODO,Used in crafting and construction.
331,Weathered Floor,TODO,Place on the ground to create paths or to spruce up your floors.
333,Crystal Floor,TODO,Place on the ground to create paths or to spruce up your floors.
334,Copper Bar,TODO,A bar of pure copper.
335,Iron Bar,TODO,A bar of pure iron.
336,Gold Bar,TODO,A bar of pure gold.
337,Iridium Bar,TODO,A bar of pure iridium.
338,Refined Quartz,TODO,A more pure form of quartz.
340,Honey,TODO,It's a sweet syrup produced by bees.
341,Tea Set,TODO,Fine porcelain.
342,Pickles,TODO,A jar of your home-made pickles.
343,Stone,TODO,Stone.
344,Jelly,TODO,Gooey.
346,Beer,TODO,Drink in moderation.
347,Rare Seed,TODO,Sow in fall. Takes all season to grow.
348,Wine,TODO,Drink in moderation.
349,Energy Tonic,TODO,Restores a lot of energy.
350,Juice,TODO,"A sweet, nutritious beverage."
351,Muscle Remedy,TODO,"When you've pushed your body too hard, drink this to remove 'Exhaustion'."
368,Basic Fertilizer,TODO,"Improves soil quality a little, increasing your chance to grow quality crops. Mix into tilled soil."
369,Quality Fertilizer,TODO,"Improves soil quality, increasing your chance to grow quality crops. Mix into tilled soil."
370,Basic Retaining Soil,TODO,This soil has a chance of staying watered overnight. Mix into tilled soil.
371,Quality Retaining Soil,TODO,This soil has a good chance of staying watered overnight. Mix into tilled soil.
372,Clam,TODO,Someone lived here once.
373,Golden Pumpkin,TODO,It's valuable but has no other purpose.
378,Copper Ore,TODO,A common ore that can be smelted into bars.
380,Iron Ore,TODO,A fairly common ore that can be smelted into bars.
382,Coal,TODO,A combustible rock that is useful for crafting and smelting.
384,Gold Ore,TODO,A precious ore that can be smelted into bars.
386,Iridium Ore,TODO,An exotic ore with many curious properties. Can be smelted into bars.
388,Wood,TODO,"A sturdy, yet flexible plant material with a wide variety of uses."
390,Stone,TODO,A common material with many uses in crafting and building.
392,Nautilus Shell,TODO,An ancient shell.
393,Coral,TODO,A colony of tiny creatures that clump together to form beautiful structures.
394,Rainbow Shell,TODO,It's a very beautiful shell.
395,Coffee,TODO,It smells delicious. This is sure to give you a boost.
396,Spice Berry,TODO,It fills the air with a pungent aroma.
397,Sea Urchin,TODO,"A slow-moving, spiny creature that some consider a delicacy."
398,Grape,TODO,A sweet cluster of fruit.
399,Spring Onion,TODO,These grow wild during the spring.
400,Strawberry,TODO,"A sweet, juicy favorite with an appealing red color."
401,Straw Floor,TODO,Place on the ground to create paths or to spruce up your floors.
402,Sweet Pea,TODO,A fragrant summer flower.
403,Field Snack,TODO,A quick snack to fuel the hungry forager.
404,Common Mushroom,TODO,"Slightly nutty, with good texture."
405,Wood Path,TODO,Place on the ground to create paths or to spruce up your floors.
406,Wild Plum,TODO,Tart and juicy with a pungent aroma.
407,Gravel Path,TODO,Place on the ground to create paths or to spruce up your floors.
408,Hazelnut,TODO,That's one big hazelnut!
409,Crystal Path,TODO,Place on the ground to create paths or to spruce up your floors.
410,Blackberry,TODO,An early-fall treat.
411,Cobblestone Path,TODO,Place on the ground to create paths or to spruce up your floors.
412,Winter Root,TODO,A starchy tuber.
413,Blue Slime Egg,TODO,Can be hatched in a slime incubator.
414,Crystal Fruit,TODO,A delicate fruit that pops up from the snow.
415,Stepping Stone Path,TODO,Place on the ground to create paths or to spruce up your floors.
416,Snow Yam,TODO,This little yam was hiding beneath the snow.
417,Sweet Gem Berry,TODO,It's by far the sweetest thing you've ever smelled.
418,Crocus,TODO,A flower that can bloom in the winter.
419,Vinegar,TODO,An aged fermented liquid used in many cooking recipes.
420,Red Mushroom,TODO,A spotted mushroom sometimes found in caves.
421,Sunflower,TODO,A common misconception is that the flower turns so it's always facing the sun.
422,Purple Mushroom,TODO,A rare mushroom found deep in caves.
423,Rice,TODO,A basic grain often served under vegetables.
424,Cheese,TODO,It's your basic cheese.
426,Goat Cheese,TODO,Soft cheese made from goat's milk.
428,Cloth,TODO,A bolt of fine wool cloth.
430,Truffle,TODO,A gourmet type of mushroom with a unique taste.
432,Truffle Oil,TODO,A gourmet cooking ingredient.
433,Coffee Bean,TODO,Plant in spring or summer to grow a coffee plant. Place five beans in a keg to make coffee.
434,Stardrop,TODO,"A mysterious fruit that empowers those who eat it. The flavor is like a dream... a powerful personal experience, yet difficult to describe to others."
436,Goat Milk,TODO,The milk of a goat.
437,Red Slime Egg,TODO,Can be hatched in a slime incubator.
438,L. Goat Milk,TODO,A gallon of creamy goat's milk.
439,Purple Slime Egg,TODO,Can be hatched in a slime incubator.
440,Wool,TODO,"Soft, fluffy wool."
441,Explosive Ammo,TODO,Fire this with the slingshot.
442,Duck Egg,TODO,It's still warm.
444,Duck Feather,TODO,It's so colorful.
446,Rabbit's Foot,TODO,Some say it's lucky.
447,Aged Roe,TODO,Fish eggs aged in salt to bring out the flavor.
449,Stone Base,TODO,A simple block of stone.
450,Stone,TODO,Stone.
452,Weeds,TODO,A cluster of dry old bushes.
454,Ancient Fruit,TODO,It's been dormant for eons.
456,Algae Soup,TODO,It's a little slimy.
457,Pale Broth,TODO,A delicate broth with a hint of sulfur.
458,Bouquet,TODO,A gift that shows your romantic interest.
459,Mead,TODO,A fermented beverage made from honey. Drink in moderation.
460,Mermaid's Pendant,TODO,Give this to the person you want to marry.
461,Decorative Pot,TODO,A replica of an ancient pot.
463,Drum Block,TODO,Plays a drum sound when you walk past.
464,Flute Block,TODO,Plays a flute sound when you walk past.
465,Speed-Gro,TODO,Stimulates leaf production. Guaranteed to increase growth rate by at least 10%. Mix into tilled soil.
466,Deluxe Speed-Gro,TODO,Stimulates leaf production. Guaranteed to increase growth rate by at least 25%. Mix into tilled soil.
472,Parsnip Seeds,TODO,Plant these in the spring. Takes 4 days to mature.
473,Bean Starter,TODO,"Plant these in the spring. Takes 10 days to mature, but keeps producing after that. Grows on a trellis."
474,Cauliflower Seeds,TODO,Plant these in the spring. Takes 12 days to produce a large cauliflower.
475,Potato Seeds,TODO,"Plant these in the spring. Takes 6 days to mature, and has a chance of yielding multiple potatoes at harvest."
476,Garlic Seeds,TODO,Plant these in the spring. Takes 4 days to mature.
477,Kale Seeds,TODO,Plant these in the spring. Takes 6 days to mature. Harvest with the scythe.
478,Rhubarb Seeds,TODO,Plant these in the spring. Takes 13 days to mature.
479,Melon Seeds,TODO,Plant these in the summer. Takes 12 days to mature.
480,Tomato Seeds,TODO,"Plant these in the summer. Takes 11 days to mature, and continues to produce after first harvest."
481,Blueberry Seeds,TODO,"Plant these in the summer. Takes 13 days to mature, and continues to produce after first harvest."
482,Pepper Seeds,TODO,"Plant these in the summer. Takes 5 days to mature, and continues to produce after first harvest."
483,Wheat Seeds,TODO,Plant these in the summer or fall. Takes 4 days to mature. Harvest with the scythe.
484,Radish Seeds,TODO,Plant these in the summer. Takes 6 days to mature.
485,Red Cabbage Seeds,TODO,Plant these in the summer. Takes 9 days to mature.
486,Starfruit Seeds,TODO,Plant these in the summer. Takes 13 days to mature.
487,Corn Seeds,TODO,"Plant these in the summer or fall. Takes 14 days to mature, and continues to produce after first harvest."
488,Eggplant Seeds,TODO,"Plant these in the fall. Takes 5 days to mature, and continues to produce after first harvest."
489,Artichoke Seeds,TODO,Plant these in the fall. Takes 8 days to mature.
490,Pumpkin Seeds,TODO,Plant these in the fall. Takes 13 days to mature.
491,Bok Choy Seeds,TODO,Plant these in the fall. Takes 4 days to mature.
492,Yam Seeds,TODO,Plant these in the fall. Takes 10 days to mature.
493,Cranberry Seeds,TODO,"Plant these in the fall. Takes 7 days to mature, and continues to produce after first harvest."
494,Beet Seeds,TODO,Plant these in the fall. Takes 6 days to mature.
495,Spring Seeds,TODO,An assortment of wild spring seeds.
496,Summer Seeds,TODO,An assortment of wild summer seeds.
497,Fall Seeds,TODO,An assortment of wild fall seeds.
498,Winter Seeds,TODO,An assortment of wild winter seeds.
499,Ancient Seeds,TODO,Could these still grow?
427,Tulip Bulb,TODO,Plant in spring. Takes 6 days to produce a colorful flower. Assorted colors.
429,Jazz Seeds,TODO,Plant in spring. Takes 7 days to produce a blue puffball flower.
453,Poppy Seeds,TODO,Plant in summer. Produces a bright red flower in 7 days.
455,Spangle Seeds,TODO,Plant in summer. Takes 8 days to produce a vibrant tropical flower. Assorted colors.
431,Sunflower Seeds,TODO,Plant in summer or fall. Takes 8 days to produce a large sunflower. Yields more seeds at harvest.
425,Fairy Seeds,TODO,Plant in fall. Takes 12 days to produce a mysterious flower. Assorted Colors.
516,Small Glow Ring,TODO,"Emits a small, constant light."
517,Glow Ring,TODO,Emits a constant light.
518,Small Magnet Ring,TODO,Slightly increases your radius for collecting items.
519,Magnet Ring,TODO,Increases your radius for collecting items.
520,Slime Charmer Ring,TODO,Prevents damage from slimes.
521,Warrior Ring,TODO,"Occasionally infuses the wearer with ""warrior energy"" after slaying a monster."
522,Vampire Ring,TODO,Gain a little health every time you slay a monster.
523,Savage Ring,TODO,Gain a short speed boost whenever you slay a monster.
524,Ring of Yoba,TODO,Occasionally shields the wearer from damage.
525,Sturdy Ring,TODO,Cuts the duration of negative status effects in half.
526,Burglar's Ring,TODO,Monsters have a greater chance of dropping loot.
527,Iridium Band,TODO,"Glows, attracts items, and increases attack damage by 10%."
528,Jukebox Ring,TODO,Plays a random assortment of music you've heard.
529,Amethyst Ring,TODO,Increases knockback by 10%.
530,Topaz Ring,TODO,Increases weapon precision by 10%.
531,Aquamarine Ring,TODO,Increases critical strike chance by 10%.
532,Jade Ring,TODO,Increases critical strike power by 10%.
533,Emerald Ring,TODO,Increases weapon speed by 10%.
534,Ruby Ring,TODO,Increases attack by 10%.
535,Geode,TODO,A blacksmith can break this open for you.
536,Frozen Geode,TODO,A blacksmith can break this open for you.
537,Magma Geode,TODO,A blacksmith can break this open for you.
538,Alamite,TODO,Its distinctive fluorescence makes it a favorite among rock collectors.
539,Bixite,TODO,A dark metallic Mineral sought after for its cubic structure.
540,Baryte,TODO,The best specimens resemble a desert rose.
541,Aerinite,TODO,These crystals are curiously light.
542,Calcite,TODO,This yellow crystal is speckled with shimmering nodules.
543,Dolomite,TODO,"It can occur in coral reefs, often near an underwater volcano."
544,Esperite,TODO,The crystals glow bright green when stimulated.
545,Fluorapatite,TODO,Small amounts are found in human teeth.
546,Geminite,TODO,Occurs in brilliant clusters.
547,Helvite,TODO,It grows in a triangular column.
548,Jamborite,TODO,The crystals are so tightly packed it almost looks fuzzy.
549,Jagoite,TODO,A high volume of tiny crystals makes it very glittery.
550,Kyanite,TODO,The geometric faces are as smooth as glass.
551,Lunarite,TODO,The cratered white orbs form a tight cluster.
552,Malachite,TODO,"A popular ornamental stone, used in sculpture and to make green paint."
553,Neptunite,TODO,A jet-black crystal that is unusually reflective.
554,Lemon Stone,TODO,Some claim the powdered crystal is a dwarvish delicacy.
555,Nekoite,TODO,The delicate shards form a tiny pink meadow.
556,Orpiment,TODO,"Despite its high toxicity, this Mineral is widely used in manufacturing and folk medicine."
557,Petrified Slime,TODO,"This little guy may be 100,000 years old."
558,Thunder Egg,TODO,"According to legend, angry thunder spirits would throw these stones at one another."
559,Pyrite,TODO,"Commonly known as ""Fool's Gold""."
560,Ocean Stone,TODO,An old legend claims these stones are the mosaics of ancient mermaids.
561,Ghost Crystal,TODO,There is an aura of coldness around this crystal.
562,Tigerseye,TODO,A stripe of shimmering gold gives this gem a warm luster.
563,Jasper,TODO,"When polished, this stone becomes attactively luminous. Prized by ancient peoples for thousands of years."
564,Opal,TODO,Its internal structure causes it to reflect a rainbow of light.
565,Fire Opal,TODO,"A rare variety of opal, named for its red spots."
566,Celestine,TODO,Some early life forms had bones made from this.
567,Marble,TODO,A very popular material for sculptures and construction.
568,Sandstone,TODO,A common type of stone with red and brown striations.
569,Granite,TODO,A speckled Mineral that is commonly used in construction.
570,Basalt,TODO,Forms near searing hot magma.
571,Limestone,TODO,A very common type of stone. It's not worth very much.
572,Soapstone,TODO,"Because of its relatively soft consistency, this stone is very popular for carving."
573,Hematite,TODO,An iron-based Mineral with interesting magnetic properties.
574,Mudstone,TODO,A fine-grained rock made from ancient clay or mud.
575,Obsidian,TODO,A volcanic glass that forms when lava cools rapidly.
576,Slate,TODO,"It's extremely resistant to water, making it a good roofing material."
577,Fairy Stone,TODO,An old miner's song suggests these are made from the bones of ancient fairies.
578,Star Shards,TODO,No one knows how these form. Some scientists claim that the microscopic structure displays unnatural regularity.
579,Prehistoric Scapula,TODO,"Commonly known as a ""shoulder blade""... It's unclear what species it belonged to."
580,Prehistoric Tibia,TODO,A thick and sturdy leg bone.
581,Prehistoric Skull,TODO,This is definitely a mammalian skull.
582,Skeletal Hand,TODO,It's a wonder all these ancient little pieces lasted so long.
583,Prehistoric Rib,TODO,Little gouge marks on the side suggest that this rib was someone's dinner.
584,Prehistoric Vertebra,TODO,A segment of some prehistoric creature's spine.
585,Skeletal Tail,TODO,It's pretty short for a tail.
586,Nautilus Fossil,TODO,This must've washed up ages ago from an ancient coral reef. 
587,Amphibian Fossil,TODO,The relatively short hind legs suggest some kind of primordial toad.
